subject,arm,timepoint,query,tax_id,parent_tax_id
10,P,0,SRR5580239.967840,1162290,1914899
10,P,0,SRR5580238.1842666,1195085,196896
10,P,0,SRR5580239.2663024,10743,335795
10,P,0,SRR5580239.1224421,1131315,196895
10,P,0,SRR5580239.1589064,407392,196896
10,P,0,SRR5580239.19449,1150989,352888
10,P,0,SRR5580238.1855358,1406786,1921185
10,P,0,SRR5580237.9262823,335924,196896
10,P,0,SRR5580238.1755007,1034132,2006134
10,P,0,SRR5580238.2200853,760732,329380
10,P,0,SRR5580237.8162739,38018,12333
10,P,0,SRR5580238.2833589,1414736,196894
10,P,0,SRR5580236.12008,38018,12333
10,P,0,SRR5580239.2738697,1327941,1982581
10,P,0,SRR5580233.2216990,1131315,196895
10,P,0,SRR5580233.2943406,1126951,1985182
10,P,0,SRR5580239.2843508,571950,12333
10,P,0,SRR5580239.1032115,38018,12333
10,P,0,SRR5580238.1284342,1327937,196894
10,P,0,SRR5580239.2326461,115987,1912143
10,P,0,SRR5580237.5751442,571950,12333
10,P,0,SRR5580236.2785630,879630,329380
10,P,0,SRR5580239.1221413,38018,12333
10,P,0,SRR5580237.8902827,861448,12333
10,P,0,SRR5580238.422799,35241,196894
10,P,0,SRR5580236.836715,38018,12333
10,P,0,SRR5580237.9749315,861448,12333
10,P,0,SRR5580237.3002668,115992,1914020
10,P,0,SRR5580239.2136286,38018,12333
10,P,0,SRR5580237.6279999,38018,12333
10,P,0,SRR5580237.2834804,238854,329380
10,P,0,SRR5580236.1577055,861448,12333
10,P,0,SRR5580238.701033,38018,12333
10,P,0,SRR5580239.2929255,38018,12333
10,P,0,SRR5580233.2145502,1034132,2006134
10,P,0,SRR5580236.1445376,1069378,196894
10,P,0,SRR5580238.42524,59241,196894
10,P,0,SRR5580238.3134324,571950,12333
10,P,0,SRR5580233.1588644,861448,12333
10,P,0,SRR5580237.3187014,38018,12333
10,P,0,SRR5580236.1177999,1131315,196895
10,P,0,SRR5580237.510838,335924,196896
10,P,0,SRR5580237.3660186,754037,196896
10,P,0,SRR5580233.2725674,38018,12333
10,P,0,SRR5580236.2058761,10743,335795
10,P,0,SRR5580237.2213705,861448,12333
10,P,0,SRR5580237.1962527,280702,12333
10,P,0,SRR5580239.2440327,10713,335795
10,P,0,SRR5580239.1953681,12336,196896
10,P,0,SRR5580237.9545823,335924,196896
10,P,0,SRR5580238.1496211,571950,12333
10,P,0,SRR5580239.369384,1131315,196895
10,P,0,SRR5580236.1465288,38018,12333
10,P,0,SRR5580237.3216637,38018,12333
10,P,0,SRR5580238.2115029,38018,12333
10,P,0,SRR5580239.2091617,38018,12333
10,P,0,SRR5580233.905415,948870,196896
10,P,0,SRR5580236.2593338,38018,12333
10,P,0,SRR5580237.1437164,38018,12333
10,P,0,SRR5580233.2005913,673833,673832
10,P,0,SRR5580238.663490,12353,1914161
10,P,0,SRR5580238.1468776,1235659,1206898
10,P,0,SRR5580236.2684541,38018,12333
10,P,0,SRR5580233.1821296,641487,196894
10,P,0,SRR5580236.2179932,335924,196896
10,P,0,SRR5580239.370949,1486662,1918007
10,P,0,SRR5580237.1432689,373415,1993859
10,P,0,SRR5580237.6128574,38018,12333
10,P,0,SRR5580236.1423171,1070990,196894
10,P,0,SRR5580239.1503341,1131315,196895
10,P,0,SRR5580236.1879559,1211643,1623296
10,P,0,SRR5580236.2020469,38018,12333
10,P,0,SRR5580239.490952,59241,196894
10,P,0,SRR5580238.2358378,1340810,329380
10,P,0,SRR5580233.992719,1527694,354259
10,P,0,SRR5580236.971043,1032362,196894
10,P,0,SRR5580236.164911,571950,12333
10,P,0,SRR5580237.743049,1211643,1623296
10,P,0,SRR5580239.2433538,861448,12333
10,P,0,SRR5580233.1621210,38018,12333
10,P,0,SRR5580236.901775,335924,196896
10,P,0,SRR5580239.2986453,38018,12333
10,P,0,SRR5580236.100439,335924,196896
10,P,0,SRR5580237.2590263,38018,12333
10,P,0,SRR5580239.792700,10713,335795
10,P,0,SRR5580239.2328290,536444,196896
10,P,0,SRR5580238.986740,536474,79205
10,P,0,SRR5580236.2483549,38018,12333
10,P,0,SRR5580233.1054212,1204178,1987150
10,P,0,SRR5580237.5083384,1289600,12333
10,P,0,SRR5580236.1867207,1137745,196896
10,P,0,SRR5580238.3101338,38018,12333
10,P,0,SRR5580233.544028,1392231,12333
10,P,0,SRR5580237.541224,238854,329380
10,P,0,SRR5580238.2418696,458639,196896
10,P,0,SRR5580238.1548135,38018,12333
10,P,0,SRR5580238.3084653,38018,12333
10,P,0,SRR5580233.331039,38018,12333
10,P,0,SRR5580236.2249398,555387,329380
10,P,0,SRR5580239.1317752,1392231,12333
10,P,0,SRR5580233.1374429,238854,329380
10,P,0,SRR5580237.3530346,1211640,196894
10,P,0,SRR5580233.1533558,187944,196894
10,P,0,SRR5580236.2749992,38018,12333
10,P,0,SRR5580237.6524664,571950,12333
10,P,0,SRR5580239.2824282,445685,196896
10,P,0,SRR5580233.1847747,557989,12333
10,P,0,SRR5580238.2646044,1289600,12333
10,P,0,SRR5580238.1874772,1150989,352888
10,P,0,SRR5580233.243706,38018,12333
10,P,0,SRR5580237.10166204,35241,196894
10,P,0,SRR5580233.2284084,335924,196896
10,P,0,SRR5580233.2323627,1034132,2006134
10,P,0,SRR5580237.1815030,1136535,1720323
10,P,0,SRR5580236.1284338,10713,335795
10,P,0,SRR5580237.6829959,1034132,2006134
10,P,0,SRR5580236.176767,38018,12333
10,P,0,SRR5580238.3200,1084719,686598
10,P,0,SRR5580237.8656529,38018,12333
10,P,0,SRR5580239.2678361,1486428,196894
10,P,0,SRR5580238.3094251,1401669,196894
10,P,0,SRR5580237.3292323,38018,12333
10,P,0,SRR5580233.2139284,557989,12333
10,P,0,SRR5580238.1992267,279280,542959
10,P,0,SRR5580236.1217255,1147143,335795
10,P,0,SRR5580238.1891347,936152,196894
10,P,0,SRR5580238.1730842,38018,12333
10,P,0,SRR5580233.1930391,38018,12333
10,P,0,SRR5580239.2240412,861448,12333
10,P,0,SRR5580233.2573205,38018,12333
10,P,0,SRR5580238.1120514,1262528,128706
10,P,0,SRR5580239.744120,555387,329380
